lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category,w1,w2,w3
48.83071107,126.1938399,DSA,15.97159958,3.296156490677111,10%,200.0,boore,0.8326283451641341,2.092735974255741,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.8214564,126.2599821,DSA,15.97159958,3.3073662906194494,10%,200.0,boore,0.8568683568589435,2.1006115671235333,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.81217152,126.326105,DSA,15.97159958,3.320962006051034,10%,200.0,boore,0.889025690171755,2.1085085979990152,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.93092218,125.1197124,DSA,9.82865143,3.477607401385762,10%,200.0,boore,0.9157235683752042,2.405780661746401,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.92215622,125.1861102,DSA,15.97159958,4.0896877260828335,10%,200.0,boore,0.89550674213805,3.642071406882837,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.91335993,125.2524897,DSA,15.97159958,4.6528553598623485,10%,200.0,boore,0.8691167155926527,4.784240690369105,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.90453332,125.3188509,DSA,15.97159958,4.328200847390639,10%,200.0,boore,0.8691167155926527,4.134931665425687,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.8956764,125.3851938,DSA,15.97159958,4.139193502761438,10%,200.0,boore,0.8403462387824422,3.8004994745613208,9.934199469230226,weight_sensitivity,Moderate,0.3,0.5,0.2
48.88678917,125.4515181,DSA,15.97159958,3.923088010229163,10%,200.0,boore,0.817261750950211,3.593359229654569,9.406149350584077,weight_sensitivity,Moderate,0.3,0.5,0.2
48.87787165,125.5178241,DSA,15.97159958,3.8973210623933716,10%,200.0,boore,0.799473664162542,3.439882837251554,9.68768772259416,weight_sensitivity,Moderate,0.3,0.5,0.2
48.86892384,125.5841114,DSA,15.97159958,3.8387212264365056,10%,200.0,boore,0.7869454656590035,3.313987507676399,9.728219164503024,weight_sensitivity,Moderate,0.3,0.5,0.2
48.85994576,125.6503802,DSA,15.97159958,4.597887080306903,10%,200.0,boore,0.7577513965132143,4.765809341966127,9.938284951849376,weight_sensitivity,Moderate,0.3,0.5,0.2
48.85093741,125.7166303,DSA,15.97159958,4.639013010548207,10%,200.0,boore,0.7621038956917371,5.051854954510012,9.422271822928398,weight_sensitivity,Moderate,0.3,0.5,0.2
48.8418988,125.7828618,DSA,15.97159958,4.71999461492445,10%,200.0,boore,0.75670171835529,5.23960783212827,9.36590091676864,weight_sensitivity,Moderate,0.3,0.5,0.2
48.83282994,125.8490744,DSA,15.97159958,3.224309009908332,10%,200.0,boore,0.7701097123794789,2.0916482882894583,9.737259760248794,weight_sensitivity,Moderate,0.3,0.5,0.2
48.82373085,125.9152683,DSA,15.97159958,3.281349593166704,10%,200.0,boore,0.7719191249836581,2.099547711343213,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.81460152,125.9814433,DSA,15.97159958,3.28968819699615,10%,200.0,boore,0.7865064737353125,2.107472509751112,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.80544198,126.0475994,DSA,15.97159958,3.2988240522614896,10%,200.0,boore,0.8037117468034374,2.115421056440917,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.79625222,126.1137365,DSA,15.97159958,3.3036318288597846,10%,200.0,boore,0.8064525187516449,2.1233921464685817,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.78703227,126.1798546,DSA,15.97159958,3.319002905880218,10%,200.0,boore,0.8443676823449281,2.13138520235348,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.77778212,126.2459536,DSA,15.97159958,3.3302803326045174,10%,200.0,boore,0.8685964754749609,2.139402779924058,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
